Категория;Подкатегория;Имя RU;Имя EN;Имя TW;Имя CN;Имя KR;Имя JP;Имя PT;Имя TH;Имя FR;Имя DE;Имя SP
Опциональные;Miscellaneous;Гигантский кузнечик;Royal Red Frog Pet;寵物：紐西蘭沙螽二;宠物:新西兰沙螽二;왕실 붉은 개구리 애완동물;大きなウェタペット;Mascote Grilo Gigante;สัตว์เลี้ยงเวตา Giant;Weta géant;Großes Weta;Mascota Weta Gigante
Опциональные;Miscellaneous;Хорек;Mysterious Frog Pet;寵物：貂;宠物:貂;수수께끼의 개구리 애완동물;フェレットペット;Mascote Furão;สัตว์เลี้ยงเฟอร์เร็ต;Furet;Frettchen;Mascota Hurón
Опциональные;Miscellaneous;Ящерка с колокольчиком;Weta Pet;寵物：響鈴蜥蜴;宠物:响铃蜥蜴;웨타 애완동물;ベルトカゲペット;Mascote Lagarto com Sino;สัตว์เลี้ยงกิ้งก่า Bell;Lézard à cloche;Glockenechse;Mascota Lagarto Campana
Опциональные;Miscellaneous;Кобра;Colossal Weta Pet;寵物：魯蛇;宠物:鲁蛇;초대형 웨타 애완동물;コブラペット;Mascote Cobra;สัตว์เลี้ยงงูเห่า;Cobra;Kobra;Mascota Cobra
Опциональные;Miscellaneous;Таракан;Giant Weta Pet;寵物：極噁蟑螂;宠物:小强;거대 웨타 애완동물;ゴキブリペット;Mascote Barata;สัตว์เลี้ยงแมลงสาบ;Blatte;Kakerlake;Mascota Cucaracha
Опциональные;Miscellaneous;Тайваньский медведь;Ferret Pet;寵物：台灣黑熊;宠物:可爱黑熊;족제비 애완동물;タイワンツキノワグマのペット;Mascote Urso Formoso;สัตว์เลี้ยงหมี Formosan;Ours noir à gorge blanche;Formosa-Bär;Mascota Oso de Formosa
Опциональные;Miscellaneous;Двухвостая ящерица;Bell Lizard Pet;寵物：雙尾蜥蜴;宠物:双尾蜥蜴;종 도마뱀 애완동물;二尾のトカゲペット;Mascote Lagarto de Duas Caldas;สัตว์เลี้ยงกิ้งก่าสองหาง;Lézard à deux queues;Gabelschwanzechse;Mascota de Lagartija de Dos Colas
Опциональные;Miscellaneous;Синий сухопутный краб;Cobra Pet;寵物：靛藍沙蟹;宠物:靛蓝沙蟹;코브라 애완동물;青の陸蟹ペット;Mascote Guaiamu;สัตว์เลี้ยงปูบก Blue;Crabe terrestre bleu;Blaue Landkrabbe;Mascota Cangrejo de Tierra Azul
Опциональные;Miscellaneous;Жаба;Cockroach Pet;寵物：巨蟾;宠物:巨蟾;바퀴벌레 애완동물;ヒキガエルペット;Mascote Sapo;สัตว์เลี้ยงคางคก;Crapaud;Kröte;Mascota Sapo
Опциональные;Miscellaneous;Тайваньский олень;Formosan Bear Pet;寵物：梅花鹿;宠物:梅花鹿;대만 흑곰 애완동물;台湾梅花鹿ペット;Mascote Cervo Formoso;สัตว์เลี้ยงกวาง Formosan;Cerf Sika;Formosa-Hirsch;Mascota Venado de Formosa
Опциональные;Miscellaneous;Светлячки;Two-Tailed Lizard Pet;寵物：螢火蟲群;宠物:萤火虫群;두 꼬리 도마뱀 애완동물;蛍の群れ;Enxame de Vaga-Lumes;สัตว์เลี้ยงฝูงหิ่งห้อย;Nuée de lucioles;Glühwürmchenschwarm;Enjambre de Luciérnagas
Опциональные;Miscellaneous;Оранжевые светлячки;Blue Land Crab Pet;寵物：螢火蟲群．橘;宠物:萤火虫群：橘;파란색 참게 애완동물;蛍の群れペット;Mascote Enxame de Vaga-Lumes;สัตว์เลี้ยงศีรษะหมุน;Tête roulante;Rollender Schädel;Mascota Enjambre de Luciérnagas
Опциональные;Miscellaneous;Катающаяся голова;Toad Pet;寵物：滾動怪頭;宠物:滚动怪头;두꺼비 애완동물;生首ペット;Mascote Cabeça Rolante;สัตว์เลี้ยงไก่;Poulet;Huhn;Mascota Cabeza Rodante
Опциональные;Miscellaneous;Цыпленок;Formosan Deer Pet;寵物：雞;宠物:鸡;대만 꽃사슴 애완동물;鶏ペット;Mascote Galinha;สัตว์เลี้ยงไก่งวง Wild;Dinde sauvage;Truthahn;Mascota Gallina
Опциональные;Miscellaneous;Дикая индюшка;Firefly Swarm;寵物：狂野火雞;宠物:狂野火鸡;반딧불이 무리;七面鳥ペット;Mascote Peru Selvagem;สัตว์เลี้ยงเม่นหนาม;Hérisson;Igel;Mascota Pavo Salvaje
Опциональные;Miscellaneous;Ёжик;Firefly Swarm Pet;寵物：刺蝟;宠物:刺猬;반딧불이 무리 애완동물;ハリネズミペット;Mascote Porco-Espinho;สัตว์เลี้ยงลีเมอร์;Lémurien;Lemur;Mascota Puercoespín
Опциональные;Miscellaneous;Лемур;Rolling Head Pet;寵物：狐猴;宠物:狐猴;굴림 머리 애완동물;キツネザルペット;Mascote Lêmure;สัตว์เลี้ยงนกยูงตัวผู้;Paon;Pfau;Mascota Lémur
Опциональные;Miscellaneous;Павлин;Chicken Pet;寵物：華麗雄孔雀;宠物:华丽雄孔雀;닭 애완동물;クジャクペット;Mascote Pavão;สัตว์เลี้ยงนกยูงตัวเมีย;Paonne;Pfauenhenne;Mascota Pavo Real Macho
Опциональные;Miscellaneous;Пава;Wild Turkey Pet;寵物：華麗雌孔雀;宠物:华丽雌孔雀;황야 칠면조 애완동물;雌クジャクペット;Mascote Pavoa;สัตว์เลี้ยงนกพูเคโค;Pukeko;Purpurhuhn;Mascota Pavo Real Hembra
Опциональные;Miscellaneous;Султанка;Hedgehog Pet;寵物：幻紫水雞;宠物:幻紫水鸡;고슴도치 애완동물;青鶏ペット;Mascote Pukeko;สัตว์เลี้ยง Rock Elemental;Élémentaire de roche;Felselementar;Mascota Pukeko
Опциональные;Miscellaneous;Каменный элементаль;Lemur Pet;寵物：石魔像;宠物:石魔像;여우원숭이 애완동물;ロックエレメンタルペット;Mascote Elemental de Pedra;สัตว์เลี้ยงเต่า;Tortue;Landschildkröte;Mascota Elemental de Roca
Опциональные;Miscellaneous;Черепашка;Peacock Pet;寵物：沙漠龜;宠物:沙漠龟;수컷 공작 애완동물;カメペット;Mascote Tartaruga;สัตว์เลี้ยงหมีโคอาลา;Koala;Koalabär;Mascota Tortuga
Опциональные;Miscellaneous;Коала;Peahen Pet;寵物：無尾熊;宠物:无尾熊;암컷 공작 애완동물;コアラペット;Mascote Urso Coala;สัตว์เลี้ยงลูกช้าง;Éléphanteau;Elefantenbaby;Mascota Koala
Опциональные;Miscellaneous;Слонёнок;Pukeko Pet;寵物：象寶寶;宠物:象宝宝;푸케코 애완동물;子象ペット;Mascote Bebê Elefante;จุดหมายการวาร์ป;Destination de transfert;Teleportziel;Mascota Elefante Bebé
Опциональные;Miscellaneous;Точка телепортации;Rock Elemental Pet;傳送目的地;传送目的地;바위 정령 애완동물;ワープ転送先;Destino do Teleporte;อักขระวาร์ป;Rune de transfert;Teleportrune;Destino de teletransportación
Опциональные;Miscellaneous;Руна телепортации;Tortoise Pet;傳送符紋;传送符文;거북이 애완동물;ワープルーン;Runa de Teleporte;ชาร์จ Luminary;Charges Luminaires;Leuchtende Ladungen;Runa de teletransporte
Опциональные;Miscellaneous;Заряды светоча;Koala Bear Pet;能量球．光源;充能球特效：天体;코알라 애완동물;ルミナリーチャージ;Cargas Luminárias;;;;Cargas Luminarias
Украшения;Forest;Куст;Bush;樹叢;树丛;관목;茂み;Arbusto;Bush;Buisson;Strauch;Arbusto
Украшения;Forest;Болотное чудище;Moss Monster;石堆;石堆;이끼 괴물;苔の怪物;Monstro de Musgo;Moss Monster;Golem léthargique;Moosbedeckter Steinhaufen;Monstruo de Musgo
Украшения;Forest;Дверь частокола;Palisade Door;木柵門;木栅门;목책 문;杭の扉;Porta Paliçada;Palisade Door;Porte de palissade;Palisadentür;Puerta de Empalizada
Украшения;Forest;Пальма;Palm Tree;棕櫚樹;棕榈树;야자나무;ヤシの木;Palmeira;Palm Tree;Palmier;Palmenbaum;Palmera
Украшения;Forest;Поросший мхом камень;Mossy Cairn;腐爛石堆;苔藓石冢;이끼 낀 돌무덤;苔むした石塚;Moledro;Mossy Cairn;Cairn moussu;Waldfelsen;Hito musgoso
Украшения;Forest;Камень в лесу;Forest Rock;滾石;滚石;숲 바위;森の岩;Pedra da Floresta;Forest Rock;Rocher sylvestre;Gebetssteine;Roca de Bosque
Украшения;Forest;Молитвенные камни;Prayer Stones;堆石柱;堆石柱;기도하는 돌탑;祈りの石;Pedras de Oração;Prayer Stones;Pierres de prière;Baum;Piedras de Rezo
Украшения;Forest;Дерево;Tree;大樹;大树;나무;木;Árvore;Tree;Arbre;Üppiger Baum;Árbol
Украшения;Forest;Зеленое дерево;Lush Tree;小樹;小树;우거진 나무;生い茂った木;Árvore Exuberante;Lush Tree;Arbre touffu;Wegstein;Árbol Frondoso
Украшения;Forest;Путевой камень;Waystone;換界石;标示台座;경로석;標石;Pedra do Caminho;Waystone;Borne;Dickichtbaum;Piedra del Camino
Украшения;Forest;Дерево из чащобы;Thicket Tree;樹墩;丛林大树;잡목림 나무;森の花;Árvore do Matagal;Thicket Tree;Arbre du fourré;Waldblumen;Árbol de Matorral
Украшения;Forest;Лесные цветы;Forest Flowers;野花;野花;숲의 꽃;蜘蛛の巣の残骸;Flores da Floresta;Forest Flowers;Fleurs sylvestres;Eingesponnene Überreste;Flores de Bosque
Украшения;Forest;Останки в паутине;Webbed Remains;纏絲枯骨;缠丝枯骨;거미줄 덮인 유해;蜘蛛の巣の付いた切り株;Restos com Teias;Webbed Remains;Ossements entoilés;Eingesponnener Klotz;Restos con Telarañas
Украшения;Forest;Обрубок в паутине;Webbed Stump;纏絲;缠丝;거미줄 덮인 그루터기;蜘蛛の食料;Toco com Teias;Webbed Stump;Souche entoilée;Spinnennahrung;Tocón con Telarañas
Украшения;Forest;Жертва паука;Spider Food;纏絲活物;缠丝活物;거미 먹이;部族の宝箱;Comida de Aranha;Spider Food;Repas pour araignées;Stammestruhe;Comida de Araña
Украшения;Forest;Припасы племени;Tribal Chest;部落箱子;部落箱子;부족 상자;クモの巣が張った木;Baú Tribal;Tribal Chest;Coffre tribal;Eingesponnener Baum;Cofre tribal
Украшения;Forest;Покрытое паутиной дерево;Web-Covered Tree;纏絲樹木;爬满蛛网的树木;거미줄 덮인 나무;石造りのアーチの入り口;Árvore Coberta por Teia;Web-Covered Tree;Arbre couvert de toiles;Steintorbogen;Árbol cubierto de Telarañas
Украшения;Forest;Каменная арка;Stone Archway;石拱門;石拱门;돌 아치문;ライオンの像;Arcada de Pedra;Stone Archway;Porche voûté en pierre;Löwenstatue;Arco de Piedra
Украшения;Forest;Статуя льва;Lion Statue;獅子雕像;狮子雕像;사자 석상;石のオベリスク;Estátua de Leão;Lion Statue;Statue de lion;Steinobelisk;Estatua de León
Украшения;Forest;Каменный обелиск;Stone Obelisk;石碑;石制方尖碑;석재 오벨리스크;森の木;Obelisco de Pedra;Stone Obelisk;Obélisque en pierre;Waldbaum;Obelisco de Piedra
Украшения;Forest;Лесное дерево;Forest Tree;乾枯大樹;干枯大树;숲 나무;枯れた木;Árvore da Floresta;Forest Tree;Arbre forestier;Vertrockneter Baum;Árbol de Bosque
Украшения;Forest;Высохшее дерево;Dry Tree;細長大樹;细长大树;마른 나무;装飾された木;Árvore Seca;Dry Tree;Arbre sec;Dichte Bäume;Árbol Seco
Украшения;Forest;Вековые деревья;Thick Trees;掛著骷髏的大樹;挂着魔侍的大树;굵은 나무;装飾された木々;Árvores Espessas;Thick Trees;Arbres imposants;Verzierter Baum;Árboles Gruesos
Украшения;Forest;Декоративное дерево;Decorated Tree;掛著骷髏的樹群;挂着魔侍的树群;장식된 나무;蜘蛛の巣の張った木;Árvore Decorada;Decorated Tree;Arbre décoré;Verzierte Bäume;Árbol Decorado
Украшения;Forest;Декоративные деревья;Decorated Trees;纏絲大樹;缠丝大树;장식된 나무들;木に作られたあばら屋;Árvores Decoradas;Decorated Trees;Arbres décorés;Baumhaus;Árboles Decorados
Украшения;Forest;Дерево в паутине;Webbed Tree;大樹帳篷;大树帐篷;나무 오두막;苔の生えた壁;Árvore com Teia;Webbed Tree;Arbre entoilé;Moosbewachsene Mauer;Árbol con Telarañas
Украшения;Forest;Хижина;Tree Hut;長滿青苔的牆;长满青苔的墙;이끼 낀 벽;苔の生えた低い壁;Casa na Árvore;Tree Hut;Arbre cabane;Niedrige moosbewachsene Mauer;Cabaña de Árbol
Украшения;Forest;Замшелая стена;Mossy Wall;長滿青苔的矮牆;长满青苔的矮墙;이끼 낀 낮은 벽;石のアーチ;Parede com Musgo;Mossy Wall;Mur moussu;Steinbogen;Muro con Musgo
Украшения;Forest;Низкая замшелая стена;Low Mossy Wall;長滿青苔的拱門牆;长满青苔的拱门墙;돌 아치;苔の生えた壁のアーチ;Parede Baixa com Musgo;Low Mossy Wall;Muret moussu;Moosbewachsener Mauerbogen;Muro Bajo con Musgo
Украшения;Forest;Замшелая каменная арка;Stone Arch;裝飾物：腐爛樹墩;腐烂残桩;이끼 낀 벽 아치;腐った切り株;Arco de Pedra;Stone Arch;Arche en pierre;Fauler Baumstumpf;Arco de Muro con Musgo
Украшения;Forest;Гнилой пень;Mossy Wall Arch;裝飾物：葛魯斯寇祭壇;格鲁丝克神龛;썩은 그루터기;グラスクルの神殿;Arco Parede com Musgo;Mossy Wall Arch;Arche de mur moussu;Gruthkul-Schrein;Tocón podrido
Украшения;Forest;Алтарь Граткул;Rotten Stump;裝飾物：遍地屍體;发泡的灵盒;그루스컬의 성소;肥大化した死体;Toco Apodrecido;Rotten Stump;Souche pourrie;Überwachsene Leiche;Santuario de Gruthkul
Украшения;Forest;Поросший труп;Gruthkul Shrine;裝飾物：瑞斯拉薩樹;瑞斯拉萨树木;무성한 시신;リスラーサの木;Altar de Gruthkul;Gruthkul Shrine;Autel à Gruthkul;Ryslatha-Baum;Cadáver infestado
Украшения;Forest;Дерево Рюслаты;Overgrown Corpse;裝飾物：森林營地地板;森林营地地表;리슬라사 나무;フォレストエンキャンプメントの地面;Cadáveres de Oriath;Overgrown Corpse;Cadavre envahi par la végétation;Boden aus dem Waldlager;Árbol de Ryslatha
Украшения;Forest;Земля Лесного лагеря;Ryslatha Tree;裝飾物：林地;装饰物：林地;숲 야영지 바닥;森林地帯のオブジェクト;Árvore de Ryslatha;Ryslatha Tree;Arbre de Ryslatha;Hölzerne Objekte;Suelo del Campamento forestal
Украшения;Forest;Декорации лесов;Forest Encampment Ground;凋零大樹;枯槁之树;밀림 물품;枯れ木;Solo do Acampamento da Floresta;Forest Encampment Ground;Sol du Campement de la forêt;Verdorrter Baum;Objetos de madera
Украшения;Forest;Засохшее дерево;Woodland Objects;山毛櫸樹;山毛榉;말라버린 나무;ブナの木;Objetos Florestais;วัตถุ Woodland;Objets des bois;Buche;Árbol marchito
Украшения;Forest;Буковое дерево;Withered Tree;森林蕨類;森林蕨类;너도밤나무;森のシダ;Árvore Definhada;Withered Tree;Arbre flétri;Waldfarn;Haya (árbol)
Украшения;Forest;Лесной куст;Beech Tree;流蘇蘚衣;边缘苔藓;숲 고사리;フリンジモス;Árvore de Faia;Beech Tree;Hêtre;Zackenmoos;Helecho de bosque
Украшения;Forest;Мох с опушки;Forest Fern;森林大樹;大型森林树木;가장자리 이끼;大きな森の木;Samambaia da Floresta;Forest Fern;Fougère forestière;Große Waldbäume;Musgo periférico
Украшения;Forest;Большие лесные деревья;Fringe Moss;樹葉堆;落叶堆;대형 숲 나무;落ち葉の山;Musgo Franjado;Fringe Moss;Mousse à franges;Laubhaufen;Árboles de bosque grandes
Украшения;Forest;Куча листьев;Large Forest Trees;木頭堆;原木堆;나뭇잎 더미;丸太の山;Grandes Árvores da Floresta;Large Forest Trees;Grands arbres forestiers;Gestapelte Baumstämme;Pila de hojas
Украшения;Forest;Сваленные брёвна;Leaf Pile;長草;茂密杂草;통나무 더미;長い草;Pilha de Folhas;Leaf Pile;Tas de feuilles;Hohes Gras;Pila de troncos
Украшения;Forest;Высокая трава;Log Pile;堅固木頭堆;简陋的木堆;긴 풀;頑丈な薪の山;Pilha de Troncos;Log Pile;Tas de bûches;Unordentlicher Holzhaufen;Pasto alto
Украшения;Forest;Сваленная древесина;Long Grass;樹樁;树桩;울퉁불퉁한 나무 더미;切り株;Grama Alta;Long Grass;Herbe haute;Baumstumpf;Pila de madera resistente
Украшения;Forest;Пень;Rugged Wood Pile;一根木頭;单根原木;나무 그루터기;丸太;Pilha de Madeira Rústica;Rugged Wood Pile;Tas de bois rugueux;Einzelner Baumstamm;Tocón de árbol
Украшения;Forest;Бревно;Tree Stump;;;통나무 한 개;;Toco de Árvore;Tree Stump;Souche d'arbre;;Tronco individual
Украшения;Vaal City;Город ваал MapVaalCity;Vaal City MapVaalCity;瓦爾古城 MapVaalCity;瓦尔城市 MapVaalCity;바알 도시 MapVaalCity;ヴァールの都市 MapVaalCity;Cidade Vaal MapVaalCity;Vaal City MapVaalCity;Cité vaal MapVaalCity;Stadt der Vaal MapVaalCity;Ciudad vaal MapVaalCity
Украшения;Vaal City;Гадюка Напуаци;Viper Napuatzi;邪魔毒蛇．納普阿茲;蝰蛇娜帕齐;바이퍼 나푸앗지;ヴァイパー・ナプアツィ;Víbora Napuatzi;อสรพิษนาปวดซี;Vipère Napuatzi;Viper Napuatzi;Napuatzi la Víbora
Украшения;Vaal City;Броня;Viper Legionnaire;護甲值;护甲;방어도;アーマー;Armadura;ค่าเกราะ;Armure;Rüstung;Armadura
Украшения;Vaal City;Энергетический щит;Atziri Statue;能量護盾;能量护盾;에너지 보호막;エナジーシールド;Escudo de Energia;โล่พลังงาน;Bouclier d'énergie;Energieschild;Escudo de energía
Украшения;Vaal City;Легионер Гадюки;Scattered Fruit;邪魔毒蛇軍團;蝰蛇军团士兵;독사 군단병;ヴァイパー・リージョネア;Legionário da Víbora;Viper Legionnaire;Légionnaire de la Vipère;Viperlegionär;Legionario viperino
Украшения;Vaal City;Статуя Атзири;Vaal Bench;阿茲里雕像;阿兹里雕像;앗지리 조각상;アッツィリの像;Estátua de Atziri;Atziri Statue;Statue d'Atziri;Atziri-Statue;Estatua de Atziri
Украшения;Vaal City;Разбросанные фрукты;Vaal Chair;散落的水果;散落的水果;널브러진 과일;散らばった果実;Frutas Espalhadas;Scattered Fruit;Fruits éparpillés;Verstreutes Obst;Frutas desparramadas
Украшения;Vaal City;Скамья ваал;Vaal Market Clusters;瓦爾長椅;瓦尔长椅;바알 벤치;ヴァールのベンチ;Banco Vaal;Vaal Bench;Banc vaal;Vaal-Bank;Banco vaal
Украшения;Vaal City;Стул ваал;Vaal Market Fish;瓦爾椅子;瓦尔椅子;바알 의자;ヴァールの椅子;Cadeira Vaal;Vaal Chair;Chaise vaal;Vaal-Stuhl;Silla vaal
Украшения;Vaal City;Рыночная утварь ваал;Vaal Market Stalls Cover;瓦爾市場群落;瓦尔市场货堆;바알 시장 더미;ヴァールの市場の雑貨;Agrupamentos do Mercado Vaal;Vaal Market Clusters;Amas de marché vaal;Vaal-Marktgegenstände;Grupos de mercado vaal
Украшения;Vaal City;Рыба с рынка ваал;Vaal Market Table;瓦爾市場魚;瓦尔市场鱼货;바알 시장 생선;ヴァールの市場の魚;Peixes do Mercado Vaal;Vaal Market Fish;Poisson de marché vaal;Vaal-Marktfische;Peces de mercado vaal
Украшения;Vaal City;Рыночный навес ваал;Vaal Potted Plants;瓦爾市場攤販頂蓋;瓦尔市场摊位;바알 시장 매점 덮개;ヴァールの市場のストールカバー;Cobertura das Barracas do Mercado Vaal;Vaal Market Stalls Cover;Couverture des étals de marché vaal;Vaal-Marktzelt;Puestos de mercado vaal
Украшения;Vaal City;Рыночный стол ваал;Vaal Small Market Table;瓦爾市場桌;瓦尔市场桌子;바알 시장 탁자;ヴァールの市場の机;Mesa do Mercado Vaal;Vaal Market Table;Table de marché vaal;Vaal-Markttisch;Mesa de mercado vaal
Украшения;Vaal City;Растение в горшке ваал;;瓦爾盆栽;瓦尔盆栽植物;바알 화분에 심은 식물;ヴァールの鉢植えの植物;Plantas em Vasos Vaal;Vaal Potted Plants;Plantes en pots vaal;Vaal-Topfpflanzen;Plantas en maceta vaal
Украшения;Vaal City;Небольшой рыночный стол ваал;;瓦爾市場小桌;瓦尔小型市场桌子;바알 소형 시장 탁자;ヴァールの小さな市場の机;Mesa Pequena do Mercado Vaal;Vaal Small Market Table;Petite table de marché vaal;Vaal-Markttisch (klein);Mesa de mercado vaal pequeña
Украшения;Arcane;Колдовской трон;Arcane Throne;秘術王座;秘术王座;비전 왕좌;アーケーンの玉座;Trono Arcano;บัลลังก์ Arcane;Trône arcanique;Arkaner Thron;Trono Arcano
Украшения;Arcane;Колдовское пламя;Arcane Flame;裝飾物：秘術火焰;装饰物:奥术之焰;비전 화염;アーケインフレイム;Chama Arcana;เพลิง Arcane;Flamme arcanique;Arkane Flamme;Llama Arcana
Украшения;Arcane;Колдовской астрономический инструмент;Arcane Astronomy Tool;裝飾物：奧法觀星台;奥术星象仪;비전 천문학 도구;アーケインの天文学道具;Ferramenta de Astronomia Arcana;Arcane Astronomy Tool;Instrument d'astronomie arcanique;Arkanes Astronomiewerkzeug;Herramienta de astronomía arcana
Украшения;Arcane;Колдовской шкаф;Arcane Cabinet;裝飾物：奧法櫥櫃;奥术储物柜;비전의 장식장;アーケインのキャビネット;Armário Arcano;Arcane Cabinet;Meuble arcanique;Arkaner Schrank;Armario arcano
Украшения;Arcane;Колдовской стул;Arcane Chair;裝飾物：奧法椅;奥术座椅;비전의 의자;アーケインの椅子;Cadeira Arcana;Arcane Chair;Chaise arcanique;Arkaner Stuhl;Silla arcana
Украшения;Arcane;Колдовская рабочая доска;Arcane Research Board;裝飾物：奧法研究板;奥术研究记事板;비전의 연구판;アーケインの研究掲示板;Painel de Pesquisa Arcana;Arcane Research Board;Tableau de recherche arcanique;Arkane Forschungstafel;Tablero de investigación arcano
Украшения;Arcane;Колдовские рабочие материалы;Arcane Research Material;裝飾物：奧法研究材料;奥术研究材料;비전의 연구 자료;アーケインの研究材料;Material de Pesquisa Arcana;Arcane Research Material;Matériel de recherche arcanique;Arkanes Forschungsmaterial;Material de investigación arcano
Украшения;Arcane;Колдовской рабочий стол;Arcane Research Table;裝飾物：奧法研究桌;奥术研究桌;비전의 연구대;アーケインの研究テーブル;Mesa de Pesquisa Arcana;Arcane Research Table;Table de recherche arcanique;Arkaner Forschungstisch;Mesa de investigación arcana
Украшения;Arcane;Колдовская полка;Arcane Shelf;裝飾物：奧法架子;奥术置物架;비전의 선반;アーケインの棚;Prateleira Arcana;Arcane Shelf;Étagère arcanique;Arkanes Regal;Estante arcano
Украшения;Arcane;Разрушенные колдовские стены;Arcane Ruin Walls;裝飾物：奧法廢墟牆壁;奥术残垣断壁;비전의 유적 벽;アーケインの遺跡の壁;Paredes de Ruína Arcana;Arcane Ruin Walls;Murs arcaniques en ruines;Arkanruine-Wände;Muros de ruinas arcanas
Украшения;Arcane;Разрушенные колдовские постройки;Arcane Ruin Structures;裝飾物：奧法廢墟結構;奥术遗迹构筑;비전의 유적 구조물;アーケインの遺跡の構造物;Estruturas de Ruína Arcana;Arcane Ruin Structures;Structures arcaniques en ruines;Arkanruine-Bauten;Estructuras de ruinas arcanas
Украшения;Arcane;Разрушенные колдовские ступени;Arcane Ruin Stairs;裝飾物：奧法廢墟階梯;奥术遗迹阶梯;비전의 유적 계단;アーケインの遺跡の階段;Escada de Ruína Arcana;Arcane Ruin Stairs;Escaliers arcaniques en ruines;Arkanruine-Treppe;Escaleras de ruinas arcanas
Украшения;Arcane;Колдовской горшок для растений;Arcane Plant Pot;裝飾物：奧法花盆;奥术花盆;비전의 화분;アーケインの植物の鉢;Vaso de Plantas Arcano;Arcane Plant Pot;Pot de fleurs arcanique;Arkaner Blumentopf;Maceta arcana
Украшения;Arcane;Сломанный колдовской горшок для растений;Arcane Broken Plant Pot;裝飾物：破碎奧法花盆;奥术碎裂花盆;비전의 부서진 화분;アーケインの壊れた植物の鉢;Vaso de Plantas Quebrado Arcano;Arcane Broken Plant Pot;Pot de fleurs cassé arcanique;Arkaner zerbrochener Blumentopf;Maceta rota arcana
Украшения;Arcane;Колдовская кадка;Arcane Planter;裝飾物：奧法植被;奥术花槽;비전의 대형 화분;アーケインのプランター;Plantadora Arcana;Arcane Planter;Jardinière arcanique;Arkanes Pflanzgefäß;Tiesto arcano
Украшения;Arcane;Заросший колдовской столб;Arcane Overgrown Post;裝飾物：過度生長的奧法遺跡;奥术繁茂柱;비전의 무성한 말뚝;アーケインの生い茂った郵便受け;Poste Coberto de vegetação Arcano;Arcane Overgrown Post;Poteau arcanique envahi par la végétation;Arkaner überwachsener Pfosten;Poste con hiedras arcano
Украшения;Arcane;Колдовские следы;Arcane Footprints Effect;行走特效：秘能之力;足迹特效：奥秘之力;비전의 발자국 이펙트;アーケイン足跡エフェクト;Efeito: Pegadas Arcanas;เอฟเฟครอยเท้า Arcane;Empreintes de pas arcaniques;Arkane Fußspuren;Efecto de Huellas Arcanas
Украшения;Arcane;Жезл волшебника;Footprints Effect;足跡特效;法杖外观：术士法杖;발자국 이펙트;ソーサラーワンド;Varinha da Feiticeira;ไม้กายสิทธิ์ Sorcerer;Baguette de sorcier;Hexer-Zauberstab;Varita de Hechicero
Украшения;Arcane;Колдовской смертоносный зазубренный лук;Arcane;秘術;奥术死亡刻痕之弓;비전;アーケイン・デスノッチの弓;Arco do Nó Mortal Arcano;ธนูง้างมรณะ Arcane;Arc de Morte-encoche arcanique;Arkaner Leichensammler-Bogen;Arco de Muescas mortales arcano
Украшения;Cave;Пещерная колонна;Cave Pillar;石柱;石柱;동굴 기둥;洞窟の柱;Pilar da Caverna;Cave Pillar;Pilier de grotte;Höhlenpfeiler;Pilar de Cueva
Украшения;Cave;Пещерный сталагмит;Cave Stalagmite;石筍;石笋;동굴 석순;洞窟の石筍;Estalagmite da Caverna;Cave Stalagmite;Stalagmite de grotte;Höhlenstalagmit;Estalagmita de Cueva
Украшения;Cave;Пещерный мусор;Cave Trash;垃圾堆;垃圾堆;동굴 쓰레기;洞窟のごみ;Lixo da Caverna;Cave Trash;Déchets de la grotte;Höhlenplunder;Basura de Cueva
Украшения;Cave;Пещерное сокровище;Cave Treasure;金銀珠寶;金银珠宝;동굴 보물;洞窟の財宝;Tesouro da Caverna;Cave Treasure;Trésor de la grotte;Höhlenschatz;Tesoro de Cueva
Украшения;Cave;Столб из логова;Den Pillar;巨石;巨石;굴 기둥;巣穴の柱;Pilar da Toca;Den Pillar;Pilier de tanière;Unterschlupfpfeiler;Pilar de Madriguera
Украшения;Cave;Валун из логова;Den Large Rock;石頭;石头;굴 대형 바위;巣穴の大岩;Pedra Grande da Toca;Den Large Rock;Gros rocher de tanière;Großer Höhlenfelsen;Roca Grande de Madriguera
Украшения;Cave;Камень из логова;Den Small Rock;大石筍;大石笋;굴 소형 바위;巣穴の小石;Pedra Pequena da Toca;Den Small Rock;Petit rocher de tanière;Kleiner Höhlenfelsen;Roca Pequeña de Madriguera
Украшения;Cave;Сталагмиты из логова;Den Stalagmites;洞穴珊瑚;洞穴珊瑚;굴 석순;巣穴の石筍;Estalagmites da Toca;Den Stalagmites;Stalagmites de tanière;Höhlenstalagmiten;Estalagmitas de Madriguera
Украшения;Cave;Большие сталагмиты из логова;Den Large Stalagmites;洞穴珊瑚群;洞穴珊瑚群;굴 대형 석순;巣穴の大石筍;Estalagmites Grandes da Toca;Den Large Stalagmites;Grandes stalagmites de tanière;Große Höhlenstalagmiten;Estalagmitas Grandes de Madriguera
Украшения;Cave;Пещерный коралл;Cave Coral;洞穴化石;洞穴化石;동굴 암초;洞窟の珊瑚;Coral de Caverna;Cave Coral;Corail des cavernes;Höhlen-Koralle;Coral de cueva
